date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots
may,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,normal,gt-norm,lt-norm,no,same-lst-sev-yrs,low-areas,severe,none,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,below-soil,brown,absent,firm-and-dry,present,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
april,lt-normal,gt-norm,lt-norm,yes,diff-lst-year,low-areas,pot-severe,fungicide,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
april,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,fungicide,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
may,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,low-areas,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
may,lt-normal,gt-norm,lt-norm,yes,diff-lst-year,low-areas,pot-severe,none,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
may,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
april,lt-normal,gt-norm,norm,no,same-lst-yr,low-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
may,lt-normal,gt-norm,norm,,same-lst-sev-yrs,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,gt-norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
may,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,gt-norm,gt-norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,gt-norm,norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
april,lt-normal,norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,norm,norm,,diff-lst-year,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,gt-norm,norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
may,lt-normal,gt-norm,norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,below-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
april,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
april,lt-normal,norm,norm,no,same-lst-two-yrs,low-areas,severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,gt-norm,gt-norm,,same-lst-sev-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
april,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
june,lt-normal,norm,gt-norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,norm,no,same-lst-yr,low-areas,severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
april,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
may,lt-normal,gt-norm,norm,yes,diff-lst-year,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
may,lt-normal,gt-norm,norm,,diff-lst-year,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,below-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,gt-norm,norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,gt-norm,gt-norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
may,lt-normal,gt-norm,norm,no,same-lst-sev-yrs,low-areas,severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,lt-normal,norm,norm,,same-lst-sev-yrs,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,gt-norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,norm,gt-norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
may,lt-normal,gt-norm,gt-norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,below-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,gt-norm,,same-lst-sev-yrs,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,norm,norm,,diff-lst-year,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,lt-normal,norm,norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
june,lt-normal,gt-norm,gt-norm,,same-lst-yr,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,below-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
may,lt-normal,gt-norm,lt-norm,yes,diff-lst-year,low-areas,severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,lt-normal,gt-norm,norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-soil,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,gt-norm,norm,,same-lst-sev-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
july,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm
july,lt-normal,gt-norm,gt-norm,,same-lst-two-yrs,low-areas,,,,abnorm,abnorm,,,,,,,abnorm,,above-sec-nde,dk-brown-blk,,absent,absent,none,absent,,,,,,,,rotted
august,normal,lt-norm,norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
july,lt-normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,scattered,pot-severe,fungicide,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
september,normal,lt-norm,gt-norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
september,normal,lt-norm,gt-norm,yes,same-lst-two-yrs,whole-field,pot-severe,fungicide,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
september,normal,lt-norm,norm,no,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
october,normal,norm,norm,no,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,abnorm,norm,absent,dna,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
september,lt-normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
september,lt-normal,lt-norm,norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
august,normal,norm,lt-norm,no,same-lst-two-yrs,whole-field,pot-severe,fungicide,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
august,lt-normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
july,lt-normal,lt-norm,lt-norm,yes,same-lst-two-yrs,scattered,severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm
september,normal,lt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,normal,lt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
july,normal,lt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm
september,normal,lt-norm,norm,no,same-lst-sev-yrs,whole-field,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
october,normal,norm,lt-norm,no,diff-lst-year,scattered,minor,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
may,lt-normal,lt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,other,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
october,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,upper-areas,minor,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
august,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,upper-areas,minor,other,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
october,normal,lt-norm,norm,no,same-lst-yr,low-areas,pot-severe,none,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
june,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,upper-areas,minor,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
october,lt-normal,lt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
september,lt-normal,lt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
may,lt-normal,lt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,other,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm
october,normal,gt-norm,lt-norm,no,same-lst-two-yrs,low-areas,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
june,normal,gt-norm,norm,no,same-lst-yr,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
may,normal,gt-norm,norm,no,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
august,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,present,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
may,normal,gt-norm,lt-norm,no,diff-lst-year,scattered,pot-severe,none,80-89,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
june,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,scattered,pot-severe,none,80-89,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
june,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
august,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,minor,fungicide,lt-80,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm
