V1,V2,V3,V4
20,14,3500.0,69
4,2,500.0,46
11,2,500.0,25
11,3,750.0,37
16,4,1000.0,33
21,7,1750.0,38
13,7,1750.0,76
16,6,1500.0,50
14,3,750.0,33
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
17,7,1750.0,58
14,3,750.0,35
14,3,750.0,35
16,7,1750.0,64
21,2,500.0,21
16,3,750.0,35
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
14,2,500.0,29
11,4,1000.0,74
11,2,500.0,38
21,6,1500.0,48
23,2,500.0,23
23,6,1500.0,45
14,2,500.0,35
16,6,1500.0,81
16,4,1000.0,58
16,5,1250.0,71
21,2,500.0,26
21,3,750.0,35
21,3,750.0,35
23,8,2000.0,69
21,3,750.0,38
23,3,750.0,35
21,3,750.0,40
23,2,500.0,28
21,1,250.0,21
21,1,250.0,21
25,6,1500.0,50
21,1,250.0,21
21,1,250.0,21
23,3,750.0,39
21,2,500.0,33
14,3,750.0,79
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,4,1000.0,52
23,1,250.0,23
23,7,1750.0,88
16,3,750.0,86
23,2,500.0,38
21,2,500.0,52
23,3,750.0,62
39,1,250.0,39
72,1,250.0,72
