V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
Sexy,Low,5.0,free,Summer,v-neck,sleevless,empire,,chiffon,,animal
Casual,Low,4.3,free,Summer,o-neck,sleevless,,milksilk,,,animal
Casual,Average,0.0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid
Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid
sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,,lace,geometric
Novelty,Average,0.0,S,Winter,turndowncollor,full,natural,cotton,,,patchwork
Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,,,solid
sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,,,lace,solid
bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,,,print
work,Average,0.0,M,Automn,slash-neck,sleevless,natural,polyster,,bow,patchwork
cute,High,0.0,M,Spring,v-neck,full,natural,rayon,,,solid
Casual,Average,0.0,free,Spring,o-neck,short,natural,cotton,,hollowout,plaid
Casual,Average,5.0,M,Summer,o-neck,short,empire,polyster,chiffon,,animal
Casual,Average,4.7,M,spring,o-neck,sleevless,natural,,chiffon,sashes,solid
Sexy,Low,4.0,S,Automn,o-neck,sleevless,empire,cotton,,,solid
Casual,Average,5.0,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid
Casual,Low,0.0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid
Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,,,patchwork
work,Average,4.8,L,Summer,v-neck,short,natural,polyster,,hollowout,solid
Casual,Medium,0.0,M,Automn,v-neck,short,empire,polyster,,,solid
bohemian,Average,5.0,free,Summer,v-neck,sleevless,natural,cotton,batik,,print
sexy,Low,0.0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid
Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,,solid
Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid
Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,,,solid
Casual,Low,4.7,L,Spring,o-neck,short,,chiffonfabric,chiffon,bow,dot
Casual,Average,5.0,XL,Winter,boat-neck,full,,cotton,,,geometric
Casual,Low,0.0,free,Spring,v-neck,sleevless,,cotton,,,print
Casual,Average,0.0,free,Spring,o-neck,sleevless,natural,,chiffon,,solid
bohemian,very-high,4.7,free,Winter,v-neck,sleevless,,polyster,,,
Casual,Low,5.0,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal
party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid
Sexy,Low,5.0,free,Spring,o-neck,full,natural,cotton,worsted,,striped
vintage,Low,4.6,M,Summer,o-neck,short,natural,,chiffon,,print
Casual,Average,0.0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid
Casual,low,4.9,L,Summer,boat-neck,short,,,chiffon,,patchwork
Casual,Low,0.0,S,Automn,o-neck,full,natural,,,beading,solid
Sexy,Average,4.0,S,Automn,v-neck,sleevless,,rayon,chiffon,,patchwork
Sexy,Low,5.0,M,Automn,o-neck,full,natural,,chiffon,lace,print
Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,,cotton,,,solid
Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,,applique,patchwork
Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,,pockets,solid
OL,Medium,0.0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,,sashes,solid
Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,,,solid
Casual,Medium,0.0,S,Spring,v-neck,full,,,,,animal
Casual,Medium,0.0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid
Casual,Average,0.0,M,Spring,o-neck,sleevless,natural,silk,,,print
Casual,Average,0.0,free,Winter,v-neck,full,natural,,chiffon,ruffles,print
vintage,Low,4.8,S,Summer,o-neck,short,natural,,chiffon,ruffles,print
Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print
fashion,Average,4.0,free,Summer,open,full,,cotton,,sequined,solid
Casual,Average,4.7,L,Summer,v-neck,short,natural,,,,print
Casual,Low,0.0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,,patchwork
bohemian,Low,4.8,free,Summer,o-neck,short,,,,,animal
work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,,Tiered,solid
vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,,button,solid
cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot
Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,,,solid
Casual,Medium,0.0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid
Casual,Average,4.7,L,Automn,o-neck,halfsleeve,,,,lace,
Sexy,Average,0.0,L,Automn,v-neck,sleevless,empire,,chiffon,,patchwork
Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,,solid
Casual,Average,0.0,M,Automn,o-neck,short,empire,polyster,,applique,print
cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,,chiffon,hollowout,solid
party,Average,5.0,M,Spring,o-neck,halfsleeve,natural,,,,
cute,Average,4.3,L,Winter,o-neck,sleevless,natural,,chiffon,,solid
Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,,patchwork
Casual,Low,4.7,L,Automn,o-neck,full,,cotton,chiffon,lace,print
Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid
sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid
work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid
vintage,Average,0.0,free,Summer,o-neck,sleevless,,,,,
Sexy,Low,4.6,free,Spring,o-neck,full,natural,,,lace,leopard
Sexy,Low,0.0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,,solid
work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,,patchwork
Casual,Average,4.4,M,Summer,o-neck,short,empire,,,lace,patchwork
cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot
Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid
party,Average,4.4,free,Automn,v-neck,threequarter,natural,,,,solid
Casual,Average,0.0,free,Spring,o-neck,short,,cotton,,lace,
Casual,Low,0.0,M,Summer,v-neck,full,natural,acrylic,,lace,solid
Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,,,patchwork
work,Average,4.6,M,Spring,v-neck,full,,,chiffon,,
cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,,lace,solid
bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,,chiffon,,solid
cute,High,0.0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork
Casual,Average,0.0,XL,Winter,o-neck,short,empire,polyster,,button,solid
Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,,print
Casual,Low,4.7,M,Automn,o-neck,full,,cotton,,,solid
cute,Average,4.3,free,Summer,boat-neck,sleevless,,,,,
Sexy,Low,0.0,free,Automn,slash-neck,short,empire,,,hollowout,solid
cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print
Sexy,low,4.5,L,Spring,o-neck,sleevless,,,,lace,solid
Casual,Average,4.7,M,Automn,o-neck,sleevless,,cotton,,,animal
Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,,lace,solid
cute,low,4.7,free,Summer,o-neck,sleevless,,,chiffon,,print
Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,,,solid
Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,,ruffles,solid
vintage,Average,4.3,free,winter,o-neck,short,,chiffonfabric,chiffon,,print
cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid
Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,,solid
vintage,Medium,0.0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,,plaid
Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,,,solid
vintage,High,0.0,L,Summer,o-neck,short,natural,cotton,,,print
Casual,low,0.0,free,Spring,v-neck,threequarter,,silk,,lace,
Sexy,Average,0.0,S,Automn,slash-neck,short,natural,,,lace,solid
Casual,Low,0.0,free,Spring,o-neck,short,natural,,,hollowout,solid
cute,Medium,5.0,free,Winter,o-neck,sleevless,natural,silk,,lace,solid
Casual,Low,4.7,free,Summer,o-neck,sleevless,,,,,print
Sexy,Low,4.8,free,Spring,v-neck,sleevless,,,,sequined,solid
Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,,bow,patchwork
vintage,Average,0.0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print
Casual,Average,3.7,free,Automn,boat-neck,full,,,,,solid
vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,,,patchwork
cute,Average,0.0,XL,Spring,boat-neck,full,,cotton,worsted,applique,dot
Casual,Average,0.0,L,Winter,open,short,natural,mix,poplin,applique,solid
sexy,Medium,5.0,M,Winter,o-neck,sleevless,empire,polyster,,bow,solid
Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,,,,solid
Casual,High,4.9,S,Spring,o-neck,threequarter,natural,,,,dot
Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,,sashes,solid
Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid
Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric
Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid
Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,,chiffon,button,striped
work,Average,0.0,S,Automn,o-neck,sleevless,natural,linen,,,patchwork
Casual,Low,0.0,L,Winter,o-neck,sleevless,empire,polyster,,,leopard
cute,low,5.0,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print
Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork
Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,,,leopard
cute,low,0.0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print
Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,,,solid
Sexy,low,4.7,M,Winter,slash-neck,sleevless,,nylon,,sashes,solid
Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,,floral
Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork
Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid
bohemian,Average,0.0,L,Winter,turndowncollor,full,natural,mix,,,solid
Casual,Low,0.0,free,,o-neck,full,natural,cotton,,,patchwork
cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid
Sexy,Average,0.0,S,Automn,v-neck,sleevless,empire,cotton,,beading,solid
Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,,,solid
vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,,lace,solid
work,low,4.7,free,Summer,o-neck,full,empire,cotton,,,solid
cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,,rivet,solid
cute,Average,0.0,M,Summer,o-neck,short,natural,cotton,chiffon,,print
Casual,Average,4.7,M,winter,o-neck,full,,,,,animal
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,,applique,solid
party,Average,5.0,free,Summer,v-neck,sleevless,,,,,
Casual,Average,0.0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,,patchwork
Sexy,Average,5.0,L,winter,o-neck,threequarter,natural,polyster,,lace,geometric
Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,,embroidary,solid
Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,,,dot
Casual,Average,4.1,M,Automn,v-neck,full,,,chiffon,sashes,
Casual,Average,5.0,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,,
Sexy,Average,5.0,M,Summer,v-neck,sleevless,empire,cotton,,sequined,solid
work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,,,solid
Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,,,,,
vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,,worsted,,solid
Casual,Average,0.0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,,solid
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,,print
bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,,sashes,print
Casual,low,5.0,free,Spring,slash-neck,sleevless,empire,spandex,,,striped
Casual,Average,5.0,M,Winter,o-neck,sleevless,natural,,chiffon,sashes,solid
Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,,striped
work,low,4.5,M,Winter,v-neck,threequarter,,,,,patchwork
Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,,lace,patchwork
Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,,dobby,lace,animal
sexy,Low,4.3,M,Automn,open,short,natural,lace,,lace,print
Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid
Casual,low,4.6,L,Winter,o-neck,full,,cotton,,,
Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,,chiffon,sashes,solid
Casual,low,0.0,free,Automn,peterpan-collor,threequarter,empire,,,,
Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,,chiffon,,
Casual,Average,0.0,S,Summer,o-neck,sleevless,empire,cotton,,,solid
Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,,,print
Casual,Average,5.0,S,Winter,o-neck,sleevless,empire,polyster,chiffon,,plaid
Sexy,very-high,0.0,free,Winter,v-neck,sleevless,natural,polyster,knitting,,solid
Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,,sashes,print
Casual,Average,4.8,M,Automn,v-neck,short,,,chiffon,embroidary,print
Casual,Average,5.0,free,Summer,v-neck,sleevless,,modal,,,patchwork
Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,,,print
Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,,striped
Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,,
Casual,low,5.0,S,Spring,o-neck,sleevless,natural,chiffonfabric,,,print
cute,Average,0.0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid
Casual,low,4.8,free,Spring,o-neck,sleevless,,chiffonfabric,chiffon,,print
Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,,applique,dot
bohemian,Average,5.0,M,Spring,slash-neck,sleevless,empire,,chiffon,ruffles,solid
Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,,sashes,print
Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid
Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,,,solid
Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print
Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,,patchwork
Casual,Average,3.5,M,winter,v-neck,short,natural,,,,solid
Casual,Average,4.8,M,winter,o-neck,threequarter,natural,,,,print
Casual,Average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid
Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,,sashes,striped
Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,,broadcloth,,print
Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,,button,solid
Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,,,character
Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,,solid
Casual,low,4.7,S,summer,o-neck,full,natural,cotton,,,patchwork
cute,Low,0.0,free,Summer,boat-neck,sleevless,,cotton,,,print
party,very-high,5.0,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,
Casual,Average,4.9,M,Automn,v-neck,sleevless,,polyster,,,
party,very-high,0.0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,
party,very-high,0.0,M,Winter,v-neck,cap-sleeves,,,chiffon,lace,
Casual,Low,4.4,M,Winter,v-neck,turndowncollor,,cotton,,,
party,very-high,0.0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,
party,high,0.0,M,Winter,Sweetheart,sleevless,natural,,,pearls,
party,high,0.0,M,Spring,Sweetheart,sleevless,,nylon,,,
party,Average,5.0,M,Winter,o-neck,capsleeves,empire,polyster,,lace,
party,high,4.7,M,Winter,sweetheart,sleeveless,natural,,chiffon,flowers,
party,,4.8,free,Winter,o-neck,sleevless,empire,,,embroidary,
party,,4.5,L,Summer,,full,,,,,
party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,,chiffon,beading,
party,high,4.6,M,winter,Sweetheart,sleevless,natural,,chiffon,,
party,Average,5.0,M,Spring,Sweetheart,sleevless,natural,polyster,,,
party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,
party,very-high,0.0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,
party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,
party,Average,4.8,L,,Sweetheart,sleevless,empire,,,pleat,
party,Medium,4.6,S,Winter,Scoop,short,empire,,,crystal,
party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,
party,Medium,4.8,S,Spring,v-neck,sleevless,empire,,,,
party,very-high,4.2,L,Winter,v-neck,sleevless,,,,lace,
Casual,Low,4.4,free,Summer,o-neck,sleevless,,,,,
party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,
party,very-high,0.0,M,Winter,o-neck,full,natural,,,feathers,
Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,,,beading,
party,Average,4.7,free,Winter,o-neck,sleevless,,polyster,,,
party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,
party,very-high,4.5,M,Spring,v-neck,cap-sleeves,,,,lace,
party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid
party,high,4.8,M,Summer,Sweetheart,sleevless,princess,,sattin,,
party,high,4.6,M,Summer,slash-neck,sleevless,natural,,chiffon,,
party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,
cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid
party,Average,5.0,M,Spring,o-neck,sleevless,,,,,
party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,
party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,
party,very-high,4.9,L,Spring,slash-neck,sleevless,,,chiffon,flowers,
party,Medium,0.0,free,Winter,v-neck,short,empire,,chiffon,lace,
work,Average,5.0,free,Winter,o-neck,half,,microfiber,,,
party,very-high,4.9,M,Spring,v-neck,sleevless,empire,,sattin,beading,
Casual,high,5.0,free,Summer,v-neck,sleevless,natural,nylon,,,
Casual,very-high,0.0,small,Spring,o-neck,full,,,chiffon,applique,
Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,,bow,
party,Average,0.0,M,Spring,v-neck,sleevless,natural,,,,
Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,,,
Casual,very-high,4.6,M,winter,o-neck,short,natural,,,flowers,
Casual,Low,4.4,free,winter,halter,sleevless,natural,,,draped,
party,high,4.5,M,winter,o-neck,sleevless,,,,,
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,,,,
Sexy,Average,5.0,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,
vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,,,,
vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,,,
work,Average,4.9,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,
Casual,low,4.7,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,,
Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,,,
Sexy,low,4.7,free,Spring,v-neck,sleeveless,,,,sequined,
Casual,Average,0.0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,,
Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork
Novelty,Average,0.0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid
Casual,Low,4.3,free,Summer,backless,sleevless,empire,chiffonfabric,chiffon,crystal,
Casual,Average,3.7,M,Summer,boat-neck,sleevless,natural,linen,,,
Casual,Average,5.0,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,
Sexy,low,5.0,free,Spring,v-neck,sleevless,empire,,chiffon,,
cute,Low,0.0,free,Winter,o-neck,sleevless,natural,,chiffon,,
vintage,Average,4.8,M,Summer,v-neck,full,natural,rayon,poplin,,
bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,,solid
bohemian,Average,0.0,free,Spring,o-neck,sleevless,natural,rayon,chiffon,,striped
Sexy,Average,4.5,M,Summer,bowneck,sleevless,,cotton,chiffon,,solid
Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal
Casual,Low,5.0,free,Spring,v-neck,full,natural,cotton,,,solid
Casual,Average,5.0,L,Winter,o-neck,thressqatar,natural,polyster,,applique,solid
Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,,,print
bohemian,Low,5.0,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print
Casual,low,5.0,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print
Casual,Low,5.0,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,,solid
cute,Average,4.3,M,Summer,,,natural,cotton,chiffon,,solid
Novelty,Average,0.0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,
cute,low,0.0,L,Spring,o-neck,sleevless,empire,,,,
Sexy,Low,4.8,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid
Sexy,Low,4.8,free,Summer,slash-neck,sleevless,empire,silk,,lace,solid
Casual,Low,4.4,M,Winter,o-neck,sleevless,natural,polyster,,,solid
Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped
Casual,Low,4.7,S,Summer,o-neck,full,natural,cotton,,,patchwork
Casual,low,4.4,free,Spring,o-neck,sleevless,natural,polyster,,sashes,print
work,Average,4.9,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid
cute,Medium,4.6,free,Spring,o-neck,short,natural,chiffonfabric,,hollowout,solid
Casual,Low,4.7,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print
Casual,Low,4.7,M,Winter,o-neck,full,empire,polyster,chiffon,,print
Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print
Sexy,Low,4.8,L,Summer,o-neck,sleevless,natural,cotton,,,solid
Casual,Average,4.3,M,Spring,o-neck,halfsleeve,,,,,
Casual,Average,4.7,XL,winter,v-neck,short,empire,milksilk,,,print
Casual,Low,0.0,L,winter,v-neck,full,,,,,solid
Sexy,Average,4.7,M,Automn,slash-neck,sleevless,natural,nylon,,rivet,solid
Casual,Low,4.7,free,winter,o-neck,sleevless,natural,,,,
Casual,high,0.0,L,winter,v-neck,full,,polyster,,,solid
Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork
Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,,sashes,solid
